Year;Month;First residence permit to Finland;Decision;Number
2019;10;Work;Negative;277
2019;11;Family;Positive;1117
2019;11;Family;Negative;231
2019;11;Other;Positive;36
2019;11;Other;Negative;14
2019;11;Studies;Positive;375
2019;11;Studies;Negative;105
2019;11;Work;Positive;1044
2019;11;Work;Negative;190
2019;12;Family;Positive;718
2019;12;Family;Negative;136
2019;12;Other;Positive;19
2019;12;Other;Negative;7
2019;12;Studies;Positive;671
2019;12;Studies;Negative;45
2019;12;Work;Positive;667
2019;12;Work;Negative;185
2020;1;Family;Positive;908
2020;1;Family;Negative;183
2020;1;Family;Expired matter;20
2020;1;Other;Positive;31
2020;1;Other;Negative;17
2020;1;Other;Expired matter;6
2020;1;Studies;Positive;166
2020;1;Studies;Negative;31
2020;1;Studies;Expired matter;6
2020;1;Work;Positive;950
2020;1;Work;Negative;199
2020;1;Work;Expired matter;9
2020;2;Family;Positive;929
2020;2;Family;Negative;186
2020;2;Family;Expired matter;14
2020;2;Other;Positive;56
2020;2;Other;Negative;14
2020;2;Other;Expired matter;2
2020;2;Studies;Positive;57
2020;2;Studies;Negative;23
2020;2;Studies;Expired matter;8
2020;2;Work;Positive;1137
2020;2;Work;Negative;157
2020;2;Work;Expired matter;8
2020;3;Family;Positive;923
2020;3;Family;Negative;216
2020;3;Family;Expired matter;26
2020;3;Other;Positive;25
2020;3;Other;Negative;19
2020;3;Other;Expired matter;1
2020;3;Studies;Positive;63
2020;3;Studies;Negative;33
2020;3;Studies;Expired matter;21
2020;3;Work;Positive;1026
2020;3;Work;Negative;133
2020;3;Work;Expired matter;37
2020;4;Family;Positive;688
2020;4;Family;Negative;174
2020;4;Family;Expired matter;20
2020;4;Other;Positive;7
2020;4;Other;Negative;9
2020;4;Other;Expired matter;1
2020;4;Studies;Positive;118
2020;4;Studies;Negative;58
2020;4;Studies;Expired matter;9
2020;4;Work;Positive;790
2020;4;Work;Negative;134
2020;4;Work;Expired matter;34
2020;5;Family;Positive;677
2020;5;Family;Negative;192
2020;5;Family;Expired matter;9
2020;5;Other;Positive;5
2020;5;Other;Negative;22
2020;5;Other;Expired matter;3
2020;5;Studies;Positive;129
2020;5;Studies;Negative;72
2020;5;Studies;Expired matter;4
2020;5;Work;Positive;727
2020;5;Work;Negative;247
2020;5;Work;Expired matter;15
2020;6;Family;Positive;600
2020;6;Family;Negative;164
2020;6;Family;Expired matter;11
2020;6;Other;Positive;60
2020;6;Other;Negative;23
2020;6;Other;Expired matter;3
2020;6;Studies;Positive;77
2020;6;Studies;Negative;75
2020;6;Studies;Expired matter;10
2020;6;Work;Positive;505
2020;6;Work;Negative;249
2020;6;Work;Expired matter;14
2020;7;Family;Positive;613
2020;7;Family;Negative;71
2020;7;Family;Expired matter;13
2020;7;Other;Positive;38
2020;7;Other;Negative;25
2020;7;Other;Expired matter;13
2020;7;Studies;Positive;821
2020;7;Studies;Negative;36
2020;7;Studies;Expired matter;5
2020;7;Work;Positive;592
2020;7;Work;Negative;144
2020;7;Work;Expired matter;15
2020;8;Family;Positive;531
2020;8;Family;Negative;124
2020;8;Family;Expired matter;9
2020;8;Other;Positive;37
2020;8;Other;Negative;22
2020;8;Other;Expired matter;10
2020;8;Studies;Positive;438
2020;8;Studies;Negative;35
2020;8;Studies;Expired matter;2
2020;8;Work;Positive;424
2020;8;Work;Negative;102
2020;8;Work;Expired matter;19
2020;9;Family;Positive;701
2020;9;Family;Negative;127
2020;9;Family;Expired matter;13
2020;9;Other;Positive;33
2020;9;Other;Negative;26
2020;9;Other;Expired matter;10
2020;9;Studies;Positive;290
2020;9;Studies;Negative;35
2020;9;Studies;Expired matter;3
2020;9;Work;Positive;549
2020;9;Work;Negative;162
2020;9;Work;Expired matter;19
2020;10;Family;Positive;758
2020;10;Family;Negative;122
2020;10;Family;Expired matter;10
2020;10;Other;Positive;62
2020;10;Other;Negative;22
2020;10;Other;Expired matter;11
2020;10;Studies;Positive;359
2020;10;Studies;Negative;23
2020;10;Work;Positive;611
2020;10;Work;Negative;150
2020;10;Work;Expired matter;10
2020;11;Family;Positive;659
2020;11;Family;Negative;132
2020;11;Family;Expired matter;24
2020;11;Other;Positive;40
2020;11;Other;Negative;18
2020;11;Other;Expired matter;7
2020;11;Studies;Positive;411
2020;11;Studies;Negative;11
2020;11;Studies;Expired matter;9
2020;11;Work;Positive;695
2020;11;Work;Negative;188
2020;11;Work;Expired matter;14
2020;12;Family;Positive;605
2020;12;Family;Negative;103
2020;12;Family;Expired matter;4
2020;12;Other;Positive;38
2020;12;Other;Negative;14
2020;12;Other;Expired matter;4
2020;12;Studies;Positive;296
2020;12;Studies;Negative;32
2020;12;Studies;Expired matter;7
2020;12;Work;Positive;502
2020;12;Work;Negative;161
2020;12;Work;Expired matter;9
2021;1;Family;Positive;631
2021;1;Family;Negative;57
2021;1;Family;Expired matter;14
2021;1;Other;Positive;42
2021;1;Other;Negative;9
2021;1;Other;Expired matter;4
2021;1;Studies;Positive;175
2021;1;Studies;Negative;37
2021;1;Studies;Expired matter;3
2021;1;Work;Positive;430
2021;1;Work;Negative;108
2021;1;Work;Expired matter;11
2021;2;Family;Positive;633
2021;2;Family;Negative;120
2021;2;Family;Expired matter;8
2021;2;Other;Positive;18
2021;2;Other;Negative;5
2021;2;Other;Expired matter;3
2021;2;Studies;Positive;120
2021;2;Studies;Negative;36
2021;2;Studies;Expired matter;2
2021;2;Work;Positive;696
2021;2;Work;Negative;173
2021;2;Work;Expired matter;8
2021;3;Family;Positive;850
2021;3;Family;Negative;84
2021;3;Family;Expired matter;12
2021;3;Other;Positive;25
2021;3;Other;Negative;7
2021;3;Other;Expired matter;5
2021;3;Studies;Positive;128
2021;3;Studies;Negative;17
2021;3;Studies;Expired matter;3
2021;3;Work;Positive;1003
2021;3;Work;Negative;149
2021;3;Work;Expired matter;12
2021;4;Family;Positive;708
2021;4;Family;Negative;127
2021;4;Family;Expired matter;9
2021;4;Other;Positive;28
2021;4;Other;Negative;7
2021;4;Other;Expired matter;2
2021;4;Studies;Positive;214
2021;4;Studies;Negative;52
2021;4;Studies;Expired matter;1
2021;4;Work;Positive;1046
2021;4;Work;Negative;175
2021;4;Work;Expired matter;7
2021;5;Family;Positive;789
2021;5;Family;Negative;84
2021;5;Family;Expired matter;14
2021;5;Other;Positive;12
2021;5;Other;Negative;6
2021;5;Other;Expired matter;2
2021;5;Studies;Positive;439
2021;5;Studies;Negative;34
2021;5;Studies;Expired matter;4
2021;5;Work;Positive;717
2021;5;Work;Negative;176
2021;5;Work;Expired matter;9
2021;6;Family;Positive;878
2021;6;Family;Negative;62
2021;6;Family;Expired matter;7
2021;6;Other;Positive;32
2021;6;Other;Negative;7
2021;6;Other;Expired matter;6
2021;6;Studies;Positive;910
2021;6;Studies;Negative;10
2021;6;Studies;Expired matter;3
2021;6;Work;Positive;860
2021;6;Work;Negative;169
2021;6;Work;Expired matter;13
2021;7;Family;Positive;610
2021;7;Family;Negative;50
2021;7;Family;Expired matter;10
2021;7;Other;Positive;15
2021;7;Other;Negative;1
2021;7;Other;Expired matter;5
2021;7;Studies;Positive;1170
2021;7;Studies;Negative;27
2021;7;Studies;Expired matter;5
2021;7;Work;Positive;875
2021;7;Work;Negative;89
2021;7;Work;Expired matter;8
2021;8;Family;Positive;786
2021;8;Family;Negative;85
2021;8;Family;Expired matter;8
2021;8;Other;Positive;40
2021;8;Other;Negative;3
2021;8;Other;Expired matter;5
2021;8;Studies;Positive;714
2021;8;Studies;Negative;52
2021;8;Studies;Expired matter;13
2021;8;Work;Positive;1022
2021;8;Work;Negative;121
2021;8;Work;Expired matter;8
2021;9;Family;Positive;1065
2021;9;Family;Negative;82
2021;9;Family;Expired matter;27
2021;9;Other;Positive;51
2021;9;Other;Negative;6
2021;9;Other;Expired matter;9
2021;9;Studies;Positive;342
2021;9;Studies;Negative;32
2021;9;Studies;Expired matter;11
2021;9;Work;Positive;1031
2021;9;Work;Negative;170
2021;9;Work;Expired matter;41
2021;10;Family;Positive;1079
2021;10;Family;Negative;140
2021;10;Family;Expired matter;24
2021;10;Other;Positive;61
2021;10;Other;Negative;14
2021;10;Other;Expired matter;9
2021;10;Studies;Positive;383
2021;10;Studies;Negative;40
2021;10;Studies;Expired matter;5
2021;10;Work;Positive;1188
2021;10;Work;Negative;185
2021;10;Work;Expired matter;19
2021;11;Family;Positive;964
2021;11;Family;Negative;137
2021;11;Family;Expired matter;51
2021;11;Other;Positive;58
2021;11;Other;Negative;17
2021;11;Other;Expired matter;2
2021;11;Studies;Positive;622
2021;11;Studies;Negative;28
2021;11;Studies;Expired matter;17
2021;11;Work;Positive;1297
2021;11;Work;Negative;197
2021;11;Work;Expired matter;79
2021;12;Family;Positive;828
2021;12;Family;Negative;118
2021;12;Family;Expired matter;130
2021;12;Other;Positive;85
2021;12;Other;Negative;7
2021;12;Other;Expired matter;4
2021;12;Studies;Positive;620
2021;12;Studies;Negative;29
2021;12;Studies;Expired matter;25
